"rep","N","p","conv_ok"
8,80,9.25350860485365e-10,TRUE
8,100,1.42626433225818e-08,TRUE
9,15,1.05145022978333e-05,FALSE
9,20,0.000131287779628352,TRUE
9,30,1.43539847620029e-05,TRUE
9,40,8.65892744428243e-09,TRUE
9,50,6.22391972590275e-05,TRUE
9,60,8.95763815198304e-07,TRUE
9,80,2.77591165152928e-09,TRUE
9,100,5.98706577646054e-10,TRUE
10,15,0.0128499806701347,TRUE
10,20,0.0812490067064008,TRUE
10,30,0.120951659007796,TRUE
10,40,0.00347267178168758,TRUE
10,50,0.000556503237456444,TRUE
10,60,0.00931603217833666,TRUE
10,80,8.94919068185518e-06,TRUE
10,100,3.97666888501747e-06,TRUE
11,15,0.138098703097701,TRUE
11,20,0.00926090320753293,TRUE
11,30,0.0058678031375239,TRUE
11,40,4.28637852599167e-07,TRUE
11,50,0.0018850322317959,TRUE
11,60,0.000125598877748615,TRUE
11,80,9.7427506056251e-09,TRUE
11,100,6.12060529660072e-10,TRUE
12,15,0.0256935668339313,TRUE
12,20,0.00210015608552933,TRUE
12,30,0.000690876768779096,TRUE
12,40,0.0202695127507213,TRUE
12,50,0.00869572786817422,TRUE
12,60,0.00735918879677024,TRUE
12,80,5.87832966840621e-07,FALSE
12,100,2.29830664936422e-06,TRUE
13,15,0.133676380885695,TRUE
13,20,6.16977004898034e-05,TRUE
13,30,0.000646425640711279,TRUE
13,40,5.36089093692098e-05,TRUE
13,50,1.68225696813942e-05,TRUE
13,60,1.6826683343104e-08,TRUE
13,80,2.99645537817625e-07,TRUE
13,100,3.19357681105033e-08,TRUE
14,15,0.00152522520483963,TRUE
14,20,0.0035684111176802,TRUE
14,30,0.00370623572018971,TRUE
14,40,0.0013164584483363,TRUE
14,50,6.07663755327643e-05,TRUE
14,60,2.78697418147944e-06,TRUE
14,80,3.06082118171514e-06,TRUE
14,100,1.29497790375875e-07,TRUE
15,15,0.00918912324717511,TRUE
15,20,0.0106009665702664,TRUE
15,30,0.010409821182786,TRUE
15,40,7.94945675799645e-06,TRUE
15,50,0.000189671718485773,TRUE
15,60,0.00872503525174429,TRUE
15,80,1.59611151491621e-07,TRUE
15,100,2.49623160909071e-07,TRUE
16,15,0.468527728795461,TRUE
16,20,0.0282542863244124,TRUE
16,30,0.0259839005138302,TRUE
16,40,0.00708392368952406,TRUE
16,50,7.76926460934279e-05,TRUE
16,60,0.00221532132168861,TRUE
16,80,4.06923904433738e-05,TRUE
16,100,3.27611989860162e-06,TRUE
17,15,NA,FALSE
17,20,0.0571206206652107,TRUE
17,30,0.0621902884965824,TRUE
17,40,0.00969795793557329,TRUE
17,50,0.00199811260632283,FALSE
17,60,0.0133474042465761,TRUE
17,80,0.000139504452971921,TRUE
17,100,0.000856555231252736,TRUE
18,15,0.00151276976044157,TRUE
18,20,0.000376582144446118,TRUE
18,30,0.00103053772691969,TRUE
