concept_id,memorability_bin,image_name,image_filepath,source_path,memorability_score,recognizability,nameability,concreteness_score,memorability_percentile,things_file_path,category27_label,category27_id,things_category,selection_source
sailboat,low,sailboat_10s.jpg,images/sailboat_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/sailboat/sailboat_10s.jpg,0.473684211,0.214285714,0.555555556,4.89,0.09001762047038994,sailboat/sailboat_10s.jpg,vehicle,26,vehicle,milp
yacht,low,yacht_08s.jpg,images/yacht_08s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/yacht/yacht_08s.jpg,0.5,0.125,0.421052632,4.97,0.20493373170918563,yacht/yacht_08s.jpg,vehicle,26,vehicle,milp
bat2,low,bat2_12s.jpg,images/bat2_12s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bat2/bat2_12s.jpg,0.55,0.8,0.4375,5.0,0.6473607599785489,bat2/bat2_12s.jpg,weapon,27,weapon,milp
catapult,low,catapult_01b.jpg,images/catapult_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/catapult/catapult_01b.jpg,0.525,0.705882353,0.555555556,4.43,0.34091779667509386,catapult/catapult_01b.jpg,weapon,27,weapon,milp
crowbar,low,crowbar_07n.jpg,images/crowbar_07n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/crowbar/crowbar_07n.jpg,0.564102564,0.2,0.75,4.87,0.8905998621006664,crowbar/crowbar_07n.jpg,weapon,27,weapon,milp
razor_blade,low,razor_blade_04s.jpg,images/razor_blade_04s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/razor_blade/razor_blade_04s.jpg,0.536585366,0.857142857,0.352941176,4.78,0.4462575653106565,razor_blade/razor_blade_04s.jpg,weapon,27,weapon,milp
sword,low,sword_06s.jpg,images/sword_06s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/sword/sword_06s.jpg,0.585365854,0.944444444,0.941176471,4.93,1.3866544089481345,sword/sword_06s.jpg,weapon,27,weapon,milp
tank1,low,tank1_02s.jpg,images/tank1_02s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/tank1/tank1_02s.jpg,0.447368421,0.8,0.941176471,4.8,0.04213590745422508,tank1/tank1_02s.jpg,weapon,27,weapon,milp
ant,mid,ant_03s.jpg,images/ant_03s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/ant/ant_03s.jpg,0.795454545,1.0,1.0,4.86,49.99233892591741,ant/ant_03s.jpg,animal,1,animal,milp
gazelle,mid,gazelle_07s.jpg,images/gazelle_07s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/gazelle/gazelle_07s.jpg,0.795454545,0.266666667,0.411764706,4.72,49.99233892591741,gazelle/gazelle_07s.jpg,animal,1,animal,milp
goldfish,mid,goldfish_10s.jpg,images/goldfish_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/goldfish/goldfish_10s.jpg,0.795454545,0.357142857,0.611111111,4.79,49.99233892591741,goldfish/goldfish_10s.jpg,animal,1,animal,milp
spider,mid,spider_09n.jpg,images/spider_09n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/spider/spider_09n.jpg,0.795454545,0.764705882,0.947368421,4.97,49.99233892591741,spider/spider_09n.jpg,animal,1,animal,milp
whale,mid,whale_10s.jpg,images/whale_10s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/whale/whale_10s.jpg,0.795454545,0.75,0.9375,4.96,49.99233892591741,whale/whale_10s.jpg,animal,1,animal,milp
